title,author,genre
To Kill a Mockingbird,Harper Lee,Klasik
1984,George Orwell,"Distopia, Petualangan"
Pride and Prejudice,Jane Austen,"Romansa, Klasik"
The Great Gatsby,F. Scott Fitzgerald,"Klasik, Romansa"
Brave New World,Aldous Huxley,Distopia
The Catcher in the Rye,J.D. Salinger,Klasik
The Notebook,Nicholas Sparks,"Romansa, Fantasi"
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasi
The Hobbit,J.R.R. Tolkien,Fantasi
The Road,Cormac McCarthy,Horor
Wuthering Heights,Emily Bront,"Klasik, Romansa"
Jane Eyre,Charlotte Bront,"Klasik, Romansa"
Moby-Dick,Herman Melville,Klasik
Great Expectation,Charles Dickens,Klasik
Frankenstein,Mary Shelley,Klasik
Dracula,Bram Stoker,Klasik
The Picture of Dorian Gray,Oscar Wilde,Klasik
Divergent,Veronica Roth,Distopia
Tess of the d'Urbervilles,Thomas Hardy,Klasik
The Call of the Wild,Jack London,Klasik
The Scarlet Letter,Nathaniel Hawthorne,Klasik
The Fault in Our Stars,John Green,Romansa
Me Before You,Jojo Moyes,Romansa
Outlander,Diana Gabaldon,Romansa
Twilight,Stephenie Meyer,Romansa
A Shade of Vampire,Bella Forrest,Romansa
The Witness,Nora Roberts,Romansa
The Girl with the Dragon Tattoo,Stieg Larsson,Romansa
The Duke and I,Julia Quinn,Romansa
The Viscount Who Loved Me,Julia Quinn,Romansa
The Fault in Our Stars,John Green,Romansa
Anna and French Kiss,Stephanie Perkins,Romansa
Bridget Jones's Diary,Helen Fielding,Romansa
Confessions of a Shopaholic,Sophie Kinsella,Romansa
Call Me by Your Name,Andr  Aciman,Romansa
Fifty Shades of Grey,E.LJames,Romansa
Brave New World,Aldous Huxley,Distopia
The Handmaid s Tale,Margaret Atwood,Distopia
Fahrenheit 451,Ray Bradbury,"Distopia, Petualangan"
The Hunger Games,Suzanne Collins,"Distopia, Petualangan"
The Maze Runner,James Dashner,"Distopia, Petualangan"
The Song of Achilles,Madeline Miller,Romansa
Anne of Green Gables,L.M. Montgomery,"Klasik, Petualangan"
Romeo and Juliet,William Shakespeare,"Romansa, Klasik"
Legend,Marie Lu,Distopia
The Giver,Lois Lowry,Distopia
The Exorcist,William Peter Blatty,Horor
